Thu Sep 16 19:28:30 CST 2010
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         58.4998            237.974
           0        tcp     0     2          59.501            237.267
           0        tcp     0     2         60.5052            236.579
           0        tcp     0     2         61.5096            236.542
           0        tcp     0     2         62.5223            238.626
           0        tcp     0     2         63.5379             233.91
           0        tcp     0     2         64.5431             236.35
           0        tcp     0     2         65.5602            237.586
           0        tcp     0     2         66.5738            238.425
           0        tcp     0     2         67.5775            232.609
           0        tcp     0     2         68.5845            235.916
           0        tcp     0     2          69.597            234.644
           0        tcp     0     2         70.6003            236.781
           0        tcp     0     2         71.6098            239.401
           0        tcp     0     2         72.6136            236.655
           0        tcp     0     2         73.6179            236.558
           0        tcp     0     2         74.6271            239.459
           0        tcp     0     2         75.6272            237.545
           0        tcp     0     2         76.6374            235.179
           0        tcp     0     2          77.655            237.475
           0        tcp     0     2         78.6605            236.268
           0        tcp     0     2         79.6766            237.836
           0        tcp     0     2         80.6778            237.294
           0        tcp     0     2         81.6903             234.63
           0        tcp     0     2         82.7081            237.425
           0        tcp     0     2         83.7194             234.92
           0        tcp     0     2         84.7221            232.856
           0        tcp     0     2          85.727            236.398
           0        tcp     0     2         86.7393            238.735
           0        tcp     0     2         87.7484            235.413
           0        tcp     0     2          88.762            234.383
           0        tcp     0     2         89.7758            238.382
           0        tcp     0     2         90.7842             235.59
           0        tcp     0     2          91.795            235.026
           0        tcp     0     2         92.8043            235.369
           0        tcp     0     2         93.8224            237.368
           0        tcp     0     2         94.8266            236.582
           0        tcp     0     2         95.8279            237.251
           0        tcp     0     2           96.84            238.792
           0        tcp     0     2         97.8482            235.617
           0        tcp     0     2         98.8575             239.44
           0        tcp     0     2         99.8601            236.954



--- Hop Node Number:4 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     3         2.02028            148.539
           0        tcp     0     3         3.04241            148.271
           0        tcp     0     3         4.05537            149.614
           0        tcp     0     3         5.07034            149.316
           0        tcp     0     3         6.08682            149.096
           0        tcp     0     3         7.10553            148.768
           0        tcp     0     3         8.11558            150.043
           0        tcp     0     3         9.12497            150.142
           0        tcp     0     3         10.1355            149.974
           0        tcp     0     3         11.1532             148.91
           0        tcp     0     3          12.161            150.391
           0        tcp     0     3           13.18            148.725
           0        tcp     0     3         14.1918            149.778
           0        tcp     0     3            15.2            150.323
           0        tcp     0     3         16.2156            149.222
           0        tcp     0     3         17.2418            147.689
           0        tcp     0     3         18.2535            149.789
           0        tcp     0     3         19.2719            148.824
           0        tcp     0     3         20.2932            148.384
           0        tcp     0     3         21.3017            150.268
           0        tcp     0     3         22.3292            151.494
           0        tcp     0     3         23.3394            150.013
           0        tcp     0     3         24.3541            149.366
           0        tcp     0     3         25.3591            150.786
           0        tcp     0     3         26.3731            149.463
           0        tcp     0     3         27.3879            149.337
           0        tcp     0     3         28.3985            149.972
           0        tcp     0     3         29.4049            150.581
           0        tcp     0     3         30.4232            148.827
           0        tcp     0     3         31.4256            151.203
           0        tcp     0     3         32.4536            151.404
           0        tcp     0     3         33.4674            149.484
           0        tcp     0     3          34.478            149.966
           0        tcp     0     3         35.4897            149.803
           0        tcp     0     3         36.5158            147.699
           0        tcp     0     3         37.5382            148.224
           0        tcp     0     3         38.5549            149.071
           0        tcp     0     3         39.5659              149.9
           0        tcp     0     3         40.5663            151.489
           0        tcp     0     3         41.5838            148.946
           0        tcp     0     3         42.5983            149.386
           0        tcp     0     3         43.6118            149.531
           0        tcp     0     3         44.6188            150.507
           0        tcp     0     3         45.6376            148.749
           0        tcp     0     3          46.644            150.595
           0        tcp     0     3         47.6631            148.702
           0        tcp     0     3         48.6807            148.931
